0.181, 0.181, 0.156004, 0.161005
0.181, 0.181001, 0.15601, 0.161013
0.181, 0.181002, 0.156018, 0.161022
0.181, 0.181003, 0.15603, 0.161037
0.181, 0.181004, 0.156044, 0.161054
0.181, 0.181006, 0.156059, 0.161073
0.181394, 0.181402, 0.156473, 0.161492
0.183513, 0.183524, 0.158615, 0.16364
0.185547, 0.18556, 0.160673, 0.165703
0.187785, 0.1878, 0.16294, 0.167978
0.190078, 0.190097, 0.165264, 0.170308
0.192639, 0.192662, 0.167866, 0.17292
0.194969, 0.194996, 0.170236, 0.175301
0.197211, 0.197243, 0.172526, 0.177602
0.199437, 0.199474, 0.174799, 0.179886
0.201578, 0.20162, 0.176989, 0.182088
0.203704, 0.203751, 0.179166, 0.184278
0.205747, 0.205799, 0.181261, 0.186385
0.20791, 0.207969, 0.183483, 0.188622
0.210057, 0.210122, 0.185692, 0.190845
0.212188, 0.212259, 0.187887, 0.193057
0.214499, 0.214578, 0.190267, 0.195454
0.216595, 0.216681, 0.192433, 0.197637
0.217962, 0.218052, 0.193847, 0.199063
0.22016, 0.220258, 0.196124, 0.20136
0.222275, 0.222383, 0.198326, 0.203583
0.224056, 0.224171, 0.200177, 0.205453
0.22595, 0.226073, 0.202149, 0.207444
0.228328, 0.228462, 0.204629, 0.20995
0.229942, 0.230083, 0.206314, 0.211653
0.23228, 0.232433, 0.20876, 0.214127
0.23411, 0.234271, 0.210677, 0.216067
0.235804, 0.235975, 0.212455, 0.217866
0.237785, 0.237965, 0.214529, 0.219964
0.239451, 0.23964, 0.216282, 0.22174
0.24134, 0.241539, 0.218271, 0.223756
0.243095, 0.243305, 0.220122, 0.225634
0.244836, 0.245056, 0.221961, 0.227499
0.246848, 0.24708, 0.224097, 0.229669
0.248669, 0.248913, 0.226028, 0.23163
0.250586, 0.250842, 0.228062, 0.233697
0.252483, 0.252752, 0.230078, 0.235747
0.254251, 0.254533, 0.23196, 0.237661
0.25622, 0.256515, 0.234058, 0.239797
0.258167, 0.258476, 0.236136, 0.241914
0.259985, 0.260308, 0.238081, 0.243895
0.262048, 0.262384, 0.240279, 0.246135
0.264032, 0.264384, 0.242407, 0.248306
0.265684, 0.266049, 0.24418, 0.250117
0.267268, 0.267646, 0.245882, 0.251857
0.269187, 0.269582, 0.247957, 0.253981
0.270883, 0.271292, 0.249785, 0.255852
0.272805, 0.27323, 0.251858, 0.257975
0.276182, 0.276625, 0.25539, 0.261558
0.279809, 0.280269, 0.259174, 0.265394
0.283453, 0.28393, 0.262976, 0.269251
0.287112, 0.287605, 0.266785, 0.273113
0.290885, 0.291397, 0.270724, 0.277111
0.294568, 0.2951, 0.274579, 0.281027
0.298055, 0.298604, 0.27822, 0.284724
0.301651, 0.302218, 0.281975, 0.288538
0.305253, 0.305837, 0.285736, 0.29236
0.308961, 0.309564, 0.289609, 0.296297
0.312877, 0.3135, 0.29369, 0.300443
0.316588, 0.317229, 0.297564, 0.304384
0.320297, 0.320959, 0.301447, 0.308338
0.3239, 0.32458, 0.30521, 0.312168
0.327601, 0.328301, 0.309074, 0.316102
0.331193, 0.331911, 0.312824, 0.319921
0.334778, 0.335513, 0.316556, 0.323721
0.338353, 0.339107, 0.320286, 0.327523
0.341917, 0.342692, 0.324014, 0.331327
0.345774, 0.346568, 0.328036, 0.335429
0.34911, 0.349922, 0.331513, 0.338977
0.352432, 0.353262, 0.334976, 0.342511
0.35584, 0.356688, 0.338526, 0.346135
0.359331, 0.360196, 0.342153, 0.349836
0.363, 0.363885, 0.345971, 0.353737
0.366745, 0.367651, 0.349875, 0.35773
0.370269, 0.371193, 0.353538, 0.361475
0.373672, 0.374614, 0.357072, 0.365089
0.37753, 0.378493, 0.361076, 0.369186
0.381165, 0.382145, 0.364837, 0.373032
0.384861, 0.385861, 0.368666, 0.376952
0.388802, 0.389822, 0.372744, 0.381128
0.392423, 0.393463, 0.376495, 0.384974
0.395731, 0.396787, 0.37991, 0.388474
0.399185, 0.400259, 0.383471, 0.392125
0.402688, 0.40378, 0.387079, 0.395825
0.405972, 0.407079, 0.390448, 0.399278
0.409128, 0.410251, 0.393689, 0.402603
0.412331, 0.41347, 0.396972, 0.405973
0.415491, 0.416646, 0.400214, 0.409304
0.418774, 0.419945, 0.403568, 0.412749
0.421924, 0.42311, 0.40678, 0.416048
0.425107, 0.426307, 0.410018, 0.419375
0.428156, 0.42937, 0.413114, 0.422558
0.431311, 0.432538, 0.416302, 0.425833
0.4341, 0.43534, 0.41912, 0.428731
0.436841, 0.438092, 0.421883, 0.431573
0.439459, 0.440722, 0.424522, 0.434291
0.44232, 0.443594, 0.42739, 0.437242
0.445121, 0.446406, 0.43019, 0.440124
0.447861, 0.449156, 0.43292, 0.442934
0.450539, 0.451844, 0.435578, 0.445672
0.453219, 0.454533, 0.438224, 0.448394
0.455768, 0.457089, 0.440735, 0.450981
0.458502, 0.459832, 0.443417, 0.453746
0.460973, 0.46231, 0.44583, 0.456233
0.463373, 0.464718, 0.448169, 0.458648
0.465472, 0.466822, 0.450199, 0.460742
0.467735, 0.46909, 0.452376, 0.462988
0.469978, 0.471338, 0.454522, 0.465203
0.472195, 0.473558, 0.456629, 0.467379
0.474179, 0.475545, 0.458502, 0.469314
0.476187, 0.477555, 0.460384, 0.471259
0.478022, 0.479391, 0.462086, 0.473016
0.479827, 0.481197, 0.463751, 0.474739
0.481597, 0.482966, 0.465368, 0.476413
0.483203, 0.484571, 0.466822, 0.477919
0.484809, 0.486176, 0.468259, 0.47941
0.486223, 0.487589, 0.469514, 0.480716
0.487632, 0.488995, 0.470744, 0.481995
0.488864, 0.490223, 0.471803, 0.483097
0.490146, 0.491502, 0.472887, 0.484228
0.491286, 0.492637, 0.473832, 0.485215
0.492426, 0.49377, 0.474755, 0.486182
0.493402, 0.49474, 0.475524, 0.486989
0.494321, 0.495652, 0.476225, 0.487729
0.495175, 0.496499, 0.476851, 0.488392
0.495941, 0.497257, 0.477383, 0.488961
0.496588, 0.497894, 0.477803, 0.489413
0.497167, 0.498464, 0.478146, 0.489788
0.497616, 0.498904, 0.478379, 0.490048
0.498025, 0.499302, 0.47855, 0.490248
0.498345, 0.499612, 0.478636, 0.49036
0.498593, 0.499849, 0.478642, 0.490392
0.49876, 0.500004, 0.478565, 0.490339
0.498848, 0.500078, 0.4784, 0.490197
0.498849, 0.500067, 0.478148, 0.489966
0.498772, 0.499976, 0.477828, 0.489666
0.498612, 0.499803, 0.477419, 0.489275
0.498371, 0.499548, 0.476929, 0.488802
0.498031, 0.499192, 0.476327, 0.488215
0.497658, 0.498805, 0.475725, 0.487626
0.49719, 0.498322, 0.475015, 0.486932
0.496661, 0.497778, 0.474252, 0.486259
0.496076, 0.497179, 0.473442, 0.485569
0.495347, 0.496433, 0.472463, 0.484722
0.494555, 0.495625, 0.47143, 0.483814
0.493684, 0.494736, 0.47032, 0.482825
0.492682, 0.493717, 0.469071, 0.481698
0.491538, 0.492554, 0.467671, 0.480422
0.490388, 0.491386, 0.466305, 0.479147
0.489156, 0.490136, 0.464969, 0.47779
0.487877, 0.488839, 0.463611, 0.476386
0.486556, 0.487501, 0.462214, 0.474944
0.48505, 0.485975, 0.460651, 0.473305
0.483539, 0.484445, 0.459151, 0.471662
0.481994, 0.482883, 0.457619, 0.469992
0.480335, 0.481206, 0.455973, 0.468204
0.478647, 0.4795, 0.454295, 0.46639
0.476795, 0.477629, 0.452454, 0.464409
0.474916, 0.475732, 0.450582, 0.462398
0.472965, 0.473762, 0.448638, 0.460313
0.470994, 0.471774, 0.446675, 0.458213
0.468957, 0.469719, 0.44468, 0.456045
0.46691, 0.467654, 0.442692, 0.453869
0.464743, 0.465469, 0.440584, 0.451569
0.46269, 0.4634, 0.438581, 0.449393
0.460522, 0.461214, 0.436461, 0.447092
0.458296, 0.458973, 0.434282, 0.44474
0.455887, 0.456546, 0.431918, 0.442195
0.453745, 0.454389, 0.429813, 0.439935
0.451221, 0.451848, 0.427331, 0.437282
0.448913, 0.449525, 0.425055, 0.434852
0.446137, 0.446731, 0.422315, 0.431932
0.443584, 0.444162, 0.41979, 0.429249
0.440833, 0.441396, 0.417067, 0.426361
0.437953, 0.438498, 0.414211, 0.42334
0.435015, 0.435543, 0.411292, 0.420255
0.432252, 0.432766, 0.408547, 0.417363
0.429207, 0.429705, 0.405517, 0.414177
0.426188, 0.42667, 0.402512, 0.411027
0.423037, 0.423504, 0.39937, 0.407736
0.420083, 0.420536, 0.396422, 0.404652
0.416918, 0.417356, 0.393261, 0.401352
0.413792, 0.414216, 0.390136, 0.398094
0.410623, 0.411033, 0.386963, 0.394789
0.4075, 0.407897, 0.383837, 0.391539
0.403984, 0.404368, 0.380318, 0.387891
0.400692, 0.401063, 0.377018, 0.384471
0.397905, 0.398265, 0.374222, 0.381577
0.394909, 0.395258, 0.371216, 0.378469
0.391793, 0.392131, 0.368088, 0.375238
0.388648, 0.388975, 0.364926, 0.371973
0.385663, 0.385979, 0.361926, 0.368882
0.382559, 0.382865, 0.358806, 0.365671
0.379811, 0.380109, 0.356047, 0.362836
0.37695, 0.377239, 0.353168, 0.359878
0.374166, 0.374447, 0.350368, 0.357003
0.370396, 0.370666, 0.346574, 0.353111
0.367184, 0.367444, 0.34334, 0.349798
0.364149, 0.3644, 0.34028, 0.346663
0.360999, 0.361242, 0.337108, 0.343418
0.357634, 0.357868, 0.333719, 0.339954
0.354651, 0.354878, 0.330717, 0.336891
0.352832, 0.353052, 0.328881, 0.334997
0.32786, 0.328027, 0.303711, 0.309407
0.319878, 0.32003, 0.295663, 0.301246
0.314036, 0.314177, 0.289768, 0.295273
0.3085, 0.308632, 0.284191, 0.289633
0.302765, 0.302888, 0.278409, 0.283788
0.297552, 0.297667, 0.273155, 0.278481
0.292456, 0.292563, 0.268014, 0.273298
0.287278, 0.287378, 0.262796, 0.268058
0.282025, 0.282118, 0.257508, 0.26275
0.276403, 0.27649, 0.251845, 0.257065
0.270727, 0.270807, 0.246128, 0.251326
0.264909, 0.264982, 0.240265, 0.24544
0.259641, 0.259709, 0.234968, 0.240127
0.254723, 0.254786, 0.230019, 0.235162
0.251627, 0.251686, 0.226901, 0.232032
0.249845, 0.2499, 0.225103, 0.230227
0.247995, 0.248047, 0.223237, 0.228353
0.246125, 0.246174, 0.221352, 0.22646
0.244234, 0.244281, 0.219442, 0.22454
0.242475, 0.242519, 0.21767, 0.222762
0.240495, 0.240536, 0.215676, 0.220761
0.2387, 0.238739, 0.213869, 0.218948
0.236836, 0.236873, 0.211997, 0.217072
0.234902, 0.234936, 0.21005, 0.21512
0.233001, 0.233033, 0.208138, 0.213202
0.231083, 0.231112, 0.206209, 0.211267
0.229308, 0.229336, 0.204425, 0.209479
0.22741, 0.227436, 0.202517, 0.207566
0.225714, 0.225739, 0.200813, 0.205858
0.224006, 0.224029, 0.199096, 0.204138
0.222005, 0.222026, 0.197086, 0.202124
0.220155, 0.220174, 0.195225, 0.200258
0.218006, 0.218024, 0.193069, 0.198097
0.215952, 0.215969, 0.191008, 0.196033
0.213592, 0.213606, 0.18864, 0.193662
0.211442, 0.211455, 0.186487, 0.191507
0.209449, 0.209462, 0.184489, 0.189507
0.207323, 0.207334, 0.182357, 0.187372
0.205179, 0.205188, 0.180208, 0.185221
0.203438, 0.203447, 0.178464, 0.183476
0.201626, 0.201635, 0.176649, 0.181659
0.199619, 0.199626, 0.174638, 0.179646
0.197412, 0.197419, 0.172428, 0.177435
0.195064, 0.19507, 0.170074, 0.175079
0.193009, 0.193014, 0.168017, 0.173021
0.19031, 0.190313, 0.165315, 0.170318
0.187458, 0.187461, 0.162463, 0.167466
0.184836, 0.184838, 0.159839, 0.164841
0.182126, 0.182128, 0.157129, 0.16213
0.181, 0.181001, 0.156002, 0.161002
0.181, 0.181001, 0.156001, 0.161001
0.181, 0.181, 0.156, 0.161001
0.181, 0.181, 0.156, 0.161
0.181, 0.181, 0.156, 0.161
0.202631, 0.202631, 0.177631, 0.182631
0.181, 0.181002, 0.156006, 0.161006
0.181, 0.181013, 0.156037, 0.161036
0.186999, 0.187029, 0.162087, 0.167085
0.194537, 0.194591, 0.169695, 0.174691
0.202681, 0.202773, 0.177946, 0.18294
0.211168, 0.21131, 0.186576, 0.191566
0.219293, 0.219492, 0.194863, 0.19985
0.227498, 0.227771, 0.203274, 0.208256
0.235855, 0.236216, 0.211873, 0.216848
0.244002, 0.244462, 0.220287, 0.225256
0.251765, 0.252339, 0.228349, 0.233312
0.259686, 0.260393, 0.236609, 0.241564
0.266872, 0.267713, 0.244129, 0.249076
0.273635, 0.274627, 0.251249, 0.256187
0.279152, 0.280279, 0.257074, 0.262006
0.283209, 0.284446, 0.261372, 0.266298
0.28794, 0.289314, 0.26639, 0.271308
0.294845, 0.296346, 0.27355, 0.278462
0.300729, 0.302334, 0.279633, 0.284539
0.307448, 0.309178, 0.286582, 0.29148
0.312764, 0.314595, 0.292071, 0.296964
0.317664, 0.319601, 0.297143, 0.302029
0.321997, 0.324029, 0.301619, 0.306499
0.325738, 0.327856, 0.305478, 0.310351
0.328862, 0.331059, 0.308697, 0.313563
0.33149, 0.333758, 0.311396, 0.316254
0.333227, 0.335545, 0.313164, 0.318016
0.334414, 0.336777, 0.314364, 0.31921
0.334894, 0.337285, 0.314831, 0.319669
0.33477, 0.337178, 0.314667, 0.3195
0.333985, 0.336398, 0.313816, 0.318642
0.332651, 0.335059, 0.312405, 0.317226
0.330796, 0.333183, 0.310447, 0.315278
0.32865, 0.331009, 0.308191, 0.313033
0.326, 0.32832, 0.305414, 0.310267
0.322659, 0.324927, 0.30192, 0.306786
0.318824, 0.32103, 0.29792, 0.302797
0.314199, 0.316323, 0.293096, 0.297987
0.308115, 0.310141, 0.286779, 0.291685
0.301113, 0.303019, 0.279515, 0.284436
0.29347, 0.295246, 0.2716, 0.276534
0.28465, 0.286278, 0.262484, 0.267433
0.278321, 0.279811, 0.255885, 0.260844
0.274098, 0.275469, 0.251436, 0.256403
0.269389, 0.270635, 0.246494, 0.251469
0.263236, 0.264324, 0.240058, 0.24504
