time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.014,0.879769,0.0145696,-0.0951201,-1.87252,0.00111587,1.88701,0.783968,-0.00202962,-0.000549924,0.000855073,0.000410056,-6.22709e-05,-0.000146959,0.00168863,0,0,0,0,0,0,0,1,0.000343993,0.000220112,0,0.000343941,-1,0.000236924,0,0.000220193,-0.000236848,-1,0,0.400076,0.399929,0.499762,1
0.015,0.879777,0.0145749,-0.0951173,-1.87252,0.00111587,1.887,0.783959,0.00124537,0.00139662,0.00149805,0.000273371,-4.15139e-05,-0.000103452,-0.00185819,0,0,0,0,0,0,0,1,0.000363418,0.000214392,0,0.000363366,-1,0.000243282,0,0.000214481,-0.000243204,-1,0,0.400073,0.399933,0.499759,1
0.016,0.879777,0.0145696,-0.0951173,-1.87251,0.00111393,1.88701,0.78396,0.000830249,-0.000832156,0.000998689,0.00101747,-0.000671936,-0.00044607,-0.000865798,0,0,0,0,0,0,0,1,0.000362867,0.000221636,0,0.000362814,-1,0.00023794,0,0.000221722,-0.000237859,-1,0,0.400072,0.399933,0.499763,1
0.017,0.879769,0.0145696,-0.0951226,-1.87251,0.00111587,1.88701,0.783956,-0.00204496,-0.000554771,-0.00109745,0.000678311,0.000196303,7.25304e-05,-0.000950191,0,0,0,0,0,0,0,1,0.000353507,0.000221721,0,0.000353455,-1,0.00023537,0,0.000221804,-0.000235291,-1,0,0.400078,0.399928,0.499764,1
0.018,0.879769,0.0145696,-0.0951254,-1.87252,0.00111587,1.88701,0.783964,-0.0013633,-0.000369847,-0.00165966,-0.00038301,0.000130868,0.000419035,0.00235048,0,0,0,0,0,0,0,1,0.000342837,0.000218586,0,0.000342785,-1,0.000238554,0,0.000218668,-0.000238479,-1,0,0.400078,0.399926,0.499762,1
0.019,0.879777,0.0145721,-0.0951201,-1.87251,0.00111688,1.887,0.783966,0.00168959,0.000588653,0.000656791,0.000579878,0.00042633,-9.53698e-05,0.00231297,0,0,0,0,0,0,0,1,0.000353727,0.000216499,0,0.000353675,-1,0.000239497,0,0.000216584,-0.00023942,-1,0,0.400073,0.399932,0.499762,1
0.02,0.879771,0.0145721,-0.0951254,-1.87252,0.00111587,1.88701,0.783968,-0.000636847,0.000392435,-0.00132538,-0.000448633,-5.48643e-05,0.000308112,0.00116899,0,0,0,0,0,0,0,1,0.000341481,0.000218381,0,0.000341429,-1,0.000239096,0,0.000218462,-0.000239021,-1,0,0.400078,0.399928,0.499761,1
0.021,0.879771,0.0145669,-0.0951201,-1.87251,0.00111587,1.88701,0.783955,-0.000424565,-0.00150161,0.000879647,0.00370659,-3.65762e-05,-0.000541552,-0.00257761,0,0,0,0,0,0,0,1,0.000359028,0.000222587,0,0.000358976,-1,0.00023408,0,0.000222671,-0.000234,-1,0,0.400075,0.399929,0.499765,1
0.022,0.879774,0.0145721,-0.0951226,-1.87252,0.00111587,1.887,0.783952,0.000644977,0.000762162,-0.000248788,0.000972027,-2.43841e-05,-0.000361766,-0.00361728,0,0,0,0,0,0,0,1,0.000362507,0.000213369,0,0.000362455,-1,0.000244037,0,0.000213458,-0.000243959,-1,0,0.400075,0.399929,0.499759,1
0.023,0.879771,0.0145721,-0.0951201,-1.87252,0.00111485,1.88701,0.783957,-0.000498035,0.000508108,0.000669357,0.000846172,-0.00035534,0.000131267,-0.000139654,0,0,0,0,0,0,0,1,0.000358119,0.000216471,0,0.000358066,-1,0.000242258,0,0.000216558,-0.00024218,-1,0,0.400075,0.39993,0.49976,1
