time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.014,-0.525397,0.0787605,-0.522823,-1.805,0.0406596,1.87299,-1.05876,0.000708366,0.000991034,-0.000669624,-0.00315109,-3.98905e-05,-0.000391186,-0.00184592,0,0,0,0,0,0,0,1,-0.0002238,-0.000441716,0,-0.000223713,-1,0.000196236,0,-0.00044176,-0.000196137,-1,0,0.300013,-0.49997,0.499786,1
0.015,-0.5254,0.0787577,-0.522823,-1.805,0.0406584,1.87299,-1.05875,-0.000455776,-0.000267331,-0.000446416,-0.00222346,-0.000331769,0.000112202,0.00401823,0,0,0,0,0,0,0,1,-0.000242726,-0.000439735,0,-0.000242638,-1,0.000199119,0,-0.000439783,-0.000199012,-1,0,0.300011,-0.499971,0.499788,1
0.016,-0.525406,0.0787577,-0.522826,-1.805,0.0406624,1.87299,-1.05875,-0.00206709,-0.00017822,-0.00122563,-0.000646337,8.39962e-05,0.000447794,0.00080863,0,0,0,0,0,0,0,1,-0.000246527,-0.000434553,0,-0.000246439,-1,0.000200791,0,-0.000434602,-0.000200684,-1,0,0.300007,-0.499974,0.499789,1
0.017,-0.525403,0.0787605,-0.522821,-1.80499,0.0406613,1.87299,-1.05876,-0.000450039,0.000809206,0.000946151,0.000335289,0.000395082,0.000298529,-0.00248268,0,0,0,0,0,0,0,1,-0.000229057,-0.000436454,0,-0.000228969,-1,0.000201729,0,-0.0004365,-0.000201629,-1,0,0.300012,-0.499972,0.499789,1
0.018,-0.525403,0.0787605,-0.522821,-1.80499,0.0406586,1.87299,-1.05877,-0.000300026,0.000539471,0.000630767,0.00109977,-0.000380872,-0.000173973,-0.00389602,0,0,0,0,0,0,0,1,-0.000221473,-0.00043782,0,-0.000221384,-1,0.000204398,0,-0.000437865,-0.000204301,-1,0,0.300012,-0.499972,0.49979,1
0.019,-0.525406,0.0787552,-0.522821,-1.80499,0.0406603,1.87299,-1.05876,-0.00112804,-0.00140359,-0.000414706,-0.000233675,0.000390345,0.000257011,0.00228327,0,0,0,0,0,0,0,1,-0.000236707,-0.00043269,0,-0.000236618,-1,0.000204855,0,-0.000432739,-0.000204752,-1,0,0.30001,-0.499972,0.499792,1
0.02,-0.525403,0.0787577,-0.52282,-1.80499,0.0406592,1.87299,-1.05876,0.000175995,-0.000100509,0.000558747,-0.000184909,-7.88541e-05,0.000510425,0.00152052,0,0,0,0,0,0,0,1,-0.000231468,-0.000435231,0,-0.000231378,-1,0.000204924,0,-0.000435278,-0.000204824,-1,0,0.300012,-0.499971,0.49979,1
0.021,-0.525397,0.0787577,-0.522823,-1.805,0.0406602,1.87299,-1.05876,0.00188057,-6.70061e-05,0.000372498,-0.000145116,0.000286515,1.19886e-06,-0.00125942,0,0,0,0,0,0,0,1,-0.000225142,-0.000436081,0,-0.000225054,-1,0.000201892,0,-0.000436126,-0.000201794,-1,0,0.300013,-0.49997,0.499789,1
0.022,-0.525403,0.078763,-0.522821,-1.805,0.0406602,1.87299,-1.05876,-0.000509526,0.00171857,0.000248332,-0.000113127,0.00019101,7.99241e-07,-0.000840544,0,0,0,0,0,0,0,1,-0.000230073,-0.0004399,0,-0.000229985,-1,0.000200397,0,-0.000439946,-0.000200296,-1,0,0.300012,-0.499972,0.499787,1
0.023,-0.5254,0.0787577,-0.522821,-1.805,0.0406592,1.87299,-1.05875,0.000495534,-0.000617526,0.000165555,-0.000922923,-0.000211744,-0.00037246,0.00394876,0,0,0,0,0,0,0,1,-0.000240858,-0.000438789,0,-0.00024077,-1,0.000198917,0,-0.000438837,-0.000198812,-1,0,0.300012,-0.49997,0.499788,1
0.024,-0.5254,0.078763,-0.522821,-1.805,0.0406592,1.87299,-1.05876,0.000330356,0.00135155,0.00011037,0.00021072,-0.000141163,-0.000248307,-0.000758859,0,0,0,0,0,0,0,1,-0.000230491,-0.000441315,0,-0.000230403,-1,0.000199795,0,-0.000441362,-0.000199693,-1,0,0.300013,-0.499971,0.499787,1
0.025,-0.5254,0.0787626,-0.522818,-1.80499,0.0406624,1.87299,-1.05876,0.000220237,6.58178e-05,0.0010016,0.000133569,-9.41086e-05,-0.000165538,-0.00162528,0,0,0,0,0,0,0,1,-0.000225278,-0.000437953,0,-0.000225191,-1,0.000198751,0,-0.000437998,-0.000198652,-1,0,0.300015,-0.49997,0.499788,1
0.026,-0.525405,0.0787612,-0.522823,-1.80499,0.0406623,1.87299,-1.05875,-0.000688393,4.38785e-05,-0.0010955,0.00101188,0.000615429,0.000262634,0.00268002,0,0,0,0,0,0,0,1,-0.000246347,-0.000434983,0,-0.000246259,-1,0.00020341,0,-0.000435033,-0.000203303,-1,0,0.30001,-0.499973,0.49979,1
0.027,-0.525398,0.0787607,-0.522823,-1.80499,0.0406638,1.87299,-1.05876,0.00130431,2.92523e-05,-0.000730336,0.00597108,7.1202e-05,0.000175089,-0.00197737,0,0,0,0,0,0,0,1,-0.000225699,-0.000434714,0,-0.000225612,-1,0.000200595,0,-0.00043476,-0.000200497,-1,0,0.300013,-0.499971,0.499789,1
0.028,-0.5254,0.0787627,-0.522821,-1.80499,0.0406614,1.87299,-1.05876,-5.84805e-05,1.95016e-05,0.000348327,0.00542486,4.7468e-05,-0.00100225,-0.00131841,0,0,0,0,0,0,0,1,-0.000226813,-0.000438537,0,-0.000226725,-1,0.000200043,0,-0.000438582,-0.000199944,-1,0,0.300014,-0.499971,0.499789,1
0.029,-0.525403,0.0787585,-0.522823,-1.80499,0.0406628,1.87299,-1.05875,-0.000874205,-0.000915019,-0.000603,-0.00314295,-0.000307439,-0.000668168,0.00213878,0,0,0,0,0,0,0,1,-0.000238761,-0.000435182,0,-0.000238675,-1,0.000199298,0,-0.000435229,-0.000199194,-1,0,0.30001,-0.499972,0.49979,1
0.03,-0.5254,0.0787629,-0.522823,-1.80499,0.0406636,1.87299,-1.05875,0.000252415,0.000318007,-0.000402,-0.0023232,-0.000204959,0.00030054,0.00105277,0,0,0,0,0,0,0,1,-0.000237676,-0.000437243,0,-0.000237589,-1,0.000198658,0,-0.00043729,-0.000198554,-1,0,0.300012,-0.499972,0.499788,1
0.031,-0.525406,0.0787606,-0.522823,-1.805,0.0406649,1.87299,-1.05876,-0.00159496,-0.000716015,-0.000268,-0.00255494,0.000202445,0.00020036,0.000328784,0,0,0,0,0,0,0,1,-0.000239999,-0.000436564,0,-0.000239914,-1,0.000195154,0,-0.000436611,-0.000195049,-1,0,0.300009,-0.499973,0.499787,1
0.032,-0.5254,0.0787587,-0.522826,-1.805,0.040663,1.87299,-1.05877,0.00069993,-0.000477343,-0.00110669,-0.00275951,-0.000509297,-0.000239419,-0.00391769,0,0,0,0,0,0,0,1,-0.000226954,-0.000437749,0,-0.000226869,-1,0.000195032,0,-0.000437794,-0.000194932,-1,0,0.30001,-0.499971,0.499787,1
0.033,-0.525403,0.078758,-0.522819,-1.805,0.040664,1.87299,-1.05875,-0.000368598,-0.000318229,0.00102545,-0.0010078,-3.43554e-05,0.000586372,0.00338996,0,0,0,0,0,0,0,1,-0.000240998,-0.000433376,0,-0.000240912,-1,0.000199189,0,-0.000433424,-0.000199085,-1,0,0.300013,-0.499971,0.499789,1
0.034,-0.525403,0.07876,-0.522815,-1.80499,0.040664,1.87299,-1.05875,-0.000245732,-0.000212153,0.00161165,9.12433e-05,-2.29036e-05,-0.00035507,0.000394979,0,0,0,0,0,0,0,1,-0.000232078,-0.000434651,0,-0.000231991,-1,0.000198339,0,-0.000434698,-0.000198238,-1,0,0.300015,-0.49997,0.499789,1
0.035,-0.525403,0.0787613,-0.52282,-1.80499,0.0406608,1.87299,-1.05876,-0.000163821,0.000786585,0.000146414,6.74713e-06,-1.52691e-05,-0.000236714,-0.00275455,0,0,0,0,0,0,0,1,-0.000226836,-0.000438589,0,-0.000226749,-1,0.000199547,0,-0.000438634,-0.000199447,-1,0,0.300012,-0.499971,0.499788,1
0.036,-0.5254,0.0787629,-0.522823,-1.80499,0.0406629,1.87299,-1.05876,0.000726004,0.00052439,-0.000737608,0.000891957,-1.01794e-05,0.000215184,-0.000344414,0,0,0,0,0,0,0,1,-0.000229314,-0.0004364,0,-0.000229226,-1,0.000201344,0,-0.000436447,-0.000201244,-1,0,0.300013,-0.499972,0.499789,1
0.037,-0.525405,0.0787634,-0.522821,-1.805,0.0406604,1.87299,-1.05875,-0.000351215,0.000349593,0.000343479,-0.00119902,-6.78626e-06,0.000143456,0.00166925,0,0,0,0,0,0,0,1,-0.00023897,-0.000441492,0,-0.000238883,-1,0.00019751,0,-0.000441539,-0.000197405,-1,0,0.300011,-0.499972,0.499786,1
0.038,-0.525401,0.0787608,-0.522818,-1.805,0.0406638,1.87299,-1.05876,0.000601074,-0.000694958,0.00115701,-0.000822163,0.00033456,-0.000277355,-0.000786048,0,0,0,0,0,0,0,1,-0.00022835,-0.000436863,0,-0.000228264,-1,0.000196071,0,-0.000436907,-0.000195971,-1,0,0.300014,-0.49997,0.499787,1
0.039,-0.525403,0.0787615,-0.522823,-1.80499,0.0406636,1.87299,-1.05876,-0.000434502,0.000464715,-0.000156683,0.00119802,-0.000116044,0.000188089,0.000221946,0,0,0,0,0,0,0,1,-0.000234382,-0.000435743,0,-0.000234295,-1,0.000199849,0,-0.000435789,-0.000199747,-1,0,0.300011,-0.499972,0.499789,1
0.04,-0.525402,0.0787577,-0.522824,-1.80499,0.0406607,1.87299,-1.05876,0.00054555,-0.00145343,-0.000939673,0.00254908,-7.73628e-05,0.000498385,0.00130085,0,0,0,0,0,0,0,1,-0.000236314,-0.00043099,0,-0.000236223,-1,0.000210018,0,-0.000431039,-0.000209916,-1,0,0.300011,-0.499973,0.499794,1
0.041,-0.525401,0.078756,-0.522821,-1.805,0.0406629,1.87299,-1.05875,0.0003637,-0.000968952,0.000208769,-0.00183671,-5.15752e-05,-4.07358e-05,0.0019862,0,0,0,0,0,0,0,1,-0.000239131,-0.000433196,0,-0.000239044,-1,0.000199892,0,-0.000433243,-0.000199789,-1,0,0.300012,-0.49997,0.49979,1
0.042,-0.5254,0.0787629,-0.522823,-1.805,0.0406636,1.87299,-1.05876,0.000242467,0.00111727,-0.000696038,-0.00123169,-3.43835e-05,0.000345835,-0.000574738,0,0,0,0,0,0,0,1,-0.000233267,-0.000437991,0,-0.000233181,-1,0.000197371,0,-0.000438037,-0.000197269,-1,0,0.300012,-0.499972,0.499787,1
