time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.014,0.881105,0.0146086,-0.0964425,-1.87265,0.00108477,1.88695,0.783875,-0.000144917,-0.00014729,0.000995744,-0.000977372,-8.27578e-05,-0.000186366,-0.00263699,0,0,0,0,0,0,0,1,0.000460774,9.10139e-05,0,0.000460734,-1,0.000439815,0,9.12166e-05,-0.000439773,-1,0,0.400055,0.399921,0.49967,1
0.015,0.881106,0.0146132,-0.0964438,-1.87265,0.00108485,1.88695,0.783879,0.000831408,0.000737033,-0.000266824,0.00194687,-5.51719e-05,0.000248231,0.00047996,0,0,0,0,0,0,0,1,0.000455481,9.43925e-05,0,0.00045544,-1,0.000436998,0,9.45915e-05,-0.000436955,-1,0,0.400057,0.399922,0.499671,1
0.016,0.881107,0.0146139,-0.0964378,-1.87265,0.00108488,1.88695,0.783886,0.000554272,0.000491362,0.00167618,-0.00130054,-3.67813e-05,-0.000207893,0.00181194,0,0,0,0,0,0,0,1,0.000455959,8.75648e-05,0,0.00045592,-1,0.000443748,0,8.77671e-05,-0.000443708,-1,0,0.400053,0.399924,0.499667,1
0.017,0.881106,0.0146095,-0.0964404,-1.87265,0.00108489,1.88695,0.783891,0.000369515,-0.000507639,0.000187953,-3.18084e-05,-2.45208e-05,-0.000511879,0.00347983,0,0,0,0,0,0,0,1,0.000447234,9.13787e-05,0,0.000447194,-1,0.000439388,0,9.15752e-05,-0.000439347,-1,0,0.400054,0.399922,0.499671,1
0.018,0.881104,0.0146054,-0.0964404,-1.87265,0.00108489,1.88695,0.783885,-0.000681677,-0.00219446,0.000124191,-2.12056e-05,-1.63472e-05,0.000404515,0.000827914,0,0,0,0,0,0,0,1,0.00045132,9.40322e-05,0,0.000451279,-1,0.000436182,0,9.4229e-05,-0.000436139,-1,0,0.400054,0.399921,0.499672,1
0.019,0.881108,0.0146115,-0.0964404,-1.87265,0.00108398,1.88695,0.783885,0.00130879,0.000393068,8.19606e-05,-1.41371e-05,-0.000316074,-0.00010348,-0.000600944,0,0,0,0,0,0,0,1,0.000455865,8.72329e-05,0,0.000455827,-1,0.000445015,0,8.74358e-05,-0.000444976,-1,0,0.400053,0.399923,0.499668,1
0.02,0.88111,0.0146089,-0.0964376,-1.87265,0.00108398,1.88695,0.78388,0.000872524,-0.000665973,0.000982035,-9.42472e-06,-0.000210716,-6.91093e-05,-0.00226559,0,0,0,0,0,0,0,1,0.000464858,9.1717e-05,0,0.000464817,-1,0.000440128,0,9.19216e-05,-0.000440085,-1,0,0.400052,0.399924,0.49967,1
0.021,0.881108,0.014604,-0.0964404,-1.87265,0.00108398,1.88695,0.783877,-0.000253535,-0.001372,-0.000273798,-6.28315e-06,-0.000140477,-4.61649e-05,-0.00151039,0,0,0,0,0,0,0,1,0.000462952,9.57908e-05,0,0.00046291,-1,0.000435459,0,9.59924e-05,-0.000435414,-1,0,0.400053,0.399922,0.499674,1
0.022,0.881113,0.0146083,-0.0964404,-1.87265,0.00108693,1.88695,0.783885,0.00159421,1.33542e-05,-0.000182884,-4.18877e-06,0.000889693,0.000342147,0.00201092,0,0,0,0,0,0,0,1,0.000459394,8.84657e-05,0,0.000459355,-1,0.000439383,0,8.86675e-05,-0.000439342,-1,0,0.400051,0.399925,0.49967,1
0.023,0.881106,0.0146094,-0.0964404,-1.87265,0.00108398,1.88694,0.783882,-0.000700428,0.000936924,-0.000122186,0.000925227,-0.000390216,-0.000517939,0.000187727,0,0,0,0,0,0,0,1,0.000456753,8.89566e-05,0,0.000456714,-1,0.000443004,0,8.91589e-05,-0.000442964,-1,0,0.400054,0.399922,0.49967,1
0.024,0.881107,0.014611,-0.0964351,-1.87266,0.00108398,1.88695,0.783889,-0.000466952,0.000624616,0.00168158,-0.00207444,-0.000260144,0.000400654,0.00277001,0,0,0,0,0,0,0,1,0.000455628,8.56312e-05,0,0.000455589,-1,0.000446433,0,8.58346e-05,-0.000446394,-1,0,0.400051,0.399924,0.499666,1
0.025,0.881106,0.0146094,-0.0964376,-1.87265,0.00108489,1.88695,0.783875,-0.000311301,0.000416411,0.000285689,0.0013083,0.00484247,-0.000478912,-0.00303614,0,0,0,0,0,0,0,1,0.000465903,9.2332e-05,0,0.000465862,-1,0.000438347,0,9.25362e-05,-0.000438304,-1,0,0.400053,0.399923,0.499671,1
0.026,0.881104,0.0146061,-0.0964404,-1.87265,0.00108591,1.88695,0.783886,-0.00113555,-0.000650412,-0.000737672,-5.58212e-05,0.00395996,0.000426689,0.00173974,0,0,0,0,0,0,0,1,0.000450298,9.41264e-05,0,0.000450257,-1,0.000434802,0,9.43222e-05,-0.00043476,-1,0,0.400055,0.399921,0.499672,1
0.027,0.881108,0.0146108,-0.0964376,-1.87265,0.00108489,1.88695,0.783887,0.000170984,0.000494412,0.000436155,0.00172602,0.00259531,0.000284443,0.000379934,0,0,0,0,0,0,0,1,0.000455876,9.57454e-05,0,0.000455834,-1,0.00043514,0,9.59437e-05,-0.000435096,-1,0,0.400053,0.399925,0.499672,1
0.028,0.881103,0.0146087,-0.0964425,-1.87265,0.00108489,1.88695,0.783879,-0.00164925,-0.000598412,-0.000637312,0.00115068,0.00195102,0.0005287,-0.00273065,0,0,0,0,0,0,0,1,0.000453738,9.5704e-05,0,0.000453697,-1,0.000434988,0,9.59014e-05,-0.000434945,-1,0,0.400057,0.39992,0.499674,1
