time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.01,-0.544363,0.455805,0.00375225,-2.09695,-0.00273386,2.55255,-0.538503,0.00114208,-0.000156187,-0.00012271,-0.00166949,0.000333659,1.25757e-07,-0.0039472,0,0,0,0,0,0,0,1,-0.000217945,-9.90109e-05,0,-0.000217967,-1,-0.000214424,0,-9.89642e-05,0.000214445,-1,0,0.499906,-0.300034,0.199899,1,0.00213343,-34.9509,0.72308,15.3096,0.142528,1.45117,0.116531,0.0590076,-0.195975,0.214123,0.0741013,-0.294825,-0.224181,0.0875018,0.38773,0.200745,0.833626,-0.402792,0.103103,0.20876
0.011,-0.544362,0.455802,0.00375541,-2.09695,-0.00273488,2.55256,-0.5385,0.000761389,-0.000938586,0.00793848,-0.000277773,-0.0086647,6.07312e-07,-0.00196405,0,0,0,0,0,0,0,1,-0.000215789,-9.54305e-05,0,-0.000215809,-1,-0.000213228,0,-9.53845e-05,0.000213249,-1,0,0.499908,-0.300033,0.1999,1,0.00213343,-34.9152,0.647702,15.2739,0.151683,1.45117,0.0963893,0.052582,-0.201128,0.208844,0.0755624,-0.294424,-0.224171,0.0872574,0.377025,0.194084,0.844324,-0.403296,0.0951578,0.202607
0.012,-0.544367,0.455802,0.00375154,-2.09694,-0.00273488,2.55255,-0.538501,-0.00125565,-0.000625156,0.00405085,0.00157806,-0.00648881,7.9748e-07,-0.0111679,0,0,0,0,0,0,0,1,-0.000223208,-9.29788e-05,0,-0.000223227,-1,-0.000209762,0,-9.2932e-05,0.000209783,-1,0,0.499907,-0.300038,0.199903,1,0.0775118,-34.9152,0.72308,15.1985,0.151683,1.45117,0.10646,0.0369865,-0.205646,0.195574,0.0771246,-0.29351,-0.224236,0.0869621,0.359925,0.17311,0.853778,-0.399369,0.0860343,0.187597
0.013,-0.544372,0.455802,0.00375202,-2.09695,-0.00273168,2.55255,-0.538506,-0.00167231,-0.000416345,0.0030919,-0.000711201,-0.00486012,8.26107e-07,-0.00976702,0,0,0,0,0,0,0,1,-0.000225525,-9.60742e-05,0,-0.000225546,-1,-0.000213941,0,-9.60259e-05,0.000213962,-1,0,0.499904,-0.300039,0.1999,1,0.113217,-34.9152,0.72308,15.2739,0.151683,1.45117,0.146743,0.0209585,-0.209008,0.181752,0.0778251,-0.292525,-0.224449,0.0866908,0.341988,0.151772,0.861224,-0.394845,0.077695,0.172103
0.014,-0.54437,0.455805,0.00376025,-2.09694,-0.00273178,2.55256,-0.538493,-0.000279659,0.000557974,0.00504602,0.0012891,-0.0029626,7.71578e-07,-0.00299683,0,0,0,0,0,0,0,1,-0.000228659,-8.97893e-05,0,-0.000228678,-1,-0.00021434,0,-8.97402e-05,0.000214361,-1,0,0.499909,-0.300035,0.199901,1,0.0775118,-34.9509,0.608029,15.1985,0.133373,1.45117,0.035049,0.00923376,-0.213504,0.171521,0.0788418,-0.291726,-0.224609,0.0864826,0.326652,0.137406,0.870924,-0.392993,0.0691068,0.160699
0.015,-0.54437,0.4558,0.00375223,-2.09695,-0.00273452,2.55256,-0.538493,-0.000186439,-0.000462996,0.000892877,2.41847e-05,-0.00295376,0.000746665,0.0061902,0,0,0,0,0,0,0,1,-0.000234743,-8.98711e-05,0,-0.000234762,-1,-0.000208481,0,-8.98222e-05,0.000208502,-1,0,0.499906,-0.300039,0.199903,1,0.0775118,-34.9152,0.72308,15.2342,0.151683,1.43103,0.0551906,9.06138e-05,-0.219365,0.163462,0.0802343,-0.291096,-0.224682,0.0863466,0.312177,0.127752,0.883301,-0.393353,0.0595998,0.151784
0.016,-0.544371,0.455797,0.00375503,-2.09694,-0.00273476,2.55255,-0.538492,-0.000124293,-0.0012365,0.00168836,0.000851341,-0.00219456,-0.000621077,0.00530614,0,0,0,0,0,0,0,1,-0.000232229,-8.74483e-05,0,-0.000232247,-1,-0.000208289,0,-8.73999e-05,0.000208309,-1,0,0.499908,-0.300038,0.199905,1,0.0775118,-34.8755,0.683408,15.1985,0.151683,1.46124,0.035049,-0.0047804,-0.224396,0.159038,0.0810244,-0.290757,-0.224789,0.0862097,0.301039,0.124475,0.894089,-0.395189,0.0517828,0.146973
0.017,-0.544373,0.455801,0.00375754,-2.09695,-0.00273575,2.55255,-0.538491,-0.00091808,0.000103819,0.00208461,-0.000267657,-0.00193726,0.000332027,0.00460842,0,0,0,0,0,0,0,1,-0.000233205,-9.42654e-05,0,-0.000233225,-1,-0.000213043,0,-9.42157e-05,0.000213065,-1,0,0.499906,-0.300037,0.199901,1,0.113217,-34.9152,0.647702,15.2342,0.159923,1.4411,0.0149074,-0.00519907,-0.228291,0.158373,0.0813106,-0.290693,-0.224929,0.0860027,0.294224,0.127176,0.902618,-0.39815,0.0462101,0.146413
0.018,-0.544371,0.455799,0.00375503,-2.09694,-0.00273385,2.55256,-0.538496,0.000223165,-0.000858706,0.000647387,0.00065678,-0.000774025,0.000221421,0.00182407,0,0,0,0,0,0,0,1,-0.000229838,-8.66242e-05,0,-0.000229856,-1,-0.000208403,0,-8.65763e-05,0.000208422,-1,0,0.499908,-0.300038,0.199905,1,0.0775118,-34.8755,0.683408,15.1985,0.142528,1.4411,0.0551906,-0.00274761,-0.232477,0.160073,0.0818059,-0.290781,-0.225022,0.0856853,0.289862,0.133776,0.911637,-0.402356,0.041079,0.148554
0.019,-0.544368,0.455797,0.00375225,-2.09694,-0.00273487,2.55256,-0.538499,0.0010768,-0.00150042,-0.00042678,0.000437853,-0.000950186,0.000147667,0.000279889,0,0,0,0,0,0,0,1,-0.000225269,-8.4122e-05,0,-0.000225286,-1,-0.000204799,0,-8.40759e-05,0.000204818,-1,0,0.499909,-0.300039,0.199906,1,0.037839,-34.8358,0.72308,15.1985,0.151683,1.4411,0.085403,0.00169515,-0.235621,0.163426,0.0817846,-0.290978,-0.225175,0.0852378,0.287437,0.142819,0.918655,-0.406652,0.0373738,0.152564
