time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.544132,0.455774,0.00361164,-2.09704,-0.00260105,2.55252,-0.537978,-0.000354424,0.000505576,0.00100541,-0.000743049,-0.00039357,0.000185056,-0.00267774,0,0,0,0,0,0,0,1,-0.000747159,-0.000175442,0,-0.000747207,-1,-0.000273776,0,-0.000175237,0.000273907,-1,0,0.499902,-0.299972,0.199878,1,-0.227969,-34.8358,0.72308,15.4207,-0.00761847,1.48046,-0.542649,-0.278677,-0.235782,0.253398,0.311703,-0.45093,-0.186818,-0.641263,0.119572,-1.73475,0.805119,0.744447,-0.337088,-0.0900483
0.001,-0.544129,0.455772,0.00361442,-2.09705,-0.00260075,2.55252,-0.537975,0.000691738,-0.000498143,0.00159829,-0.00142339,7.65776e-05,0.00012337,-0.00178569,0,0,0,0,0,0,0,1,-0.000745203,-0.000176185,0,-0.000745251,-1,-0.000275833,0,-0.000175979,0.000275965,-1,0,0.499903,-0.299969,0.199878,1,-0.267642,-34.8001,0.683408,15.4603,-0.0167737,1.48046,-0.542649,-0.280126,-0.240933,0.251509,0.313138,-0.45088,-0.186815,-0.640953,0.11356,-1.73351,0.815813,0.740599,-0.343029,-0.0915971
0.002,-0.544132,0.455772,0.00360885,-2.09704,-0.00260099,2.55252,-0.53796,-0.000466862,-0.000332077,-0.00079051,-2.09042e-05,5.09566e-05,-0.000663738,0.00481094,0,0,0,0,0,0,0,1,-0.00076865,-0.000175692,0,-0.000768698,-1,-0.000272514,0,-0.000175483,0.000272649,-1,0,0.499902,-0.299974,0.19988,1,-0.227969,-34.8001,0.762753,15.4207,-0.0167737,1.50061,-0.704697,-0.283689,-0.246725,0.247797,0.315379,-0.450718,-0.186703,-0.640455,0.107137,-1.7358,0.827505,0.737313,-0.349497,-0.0951578
0.003,-0.544127,0.455767,0.00360635,-2.09704,-0.00260015,2.55252,-0.537967,0.001452,-0.00198461,-0.00136222,0.0016565,0.000339076,0.000303493,0.00096904,0,0,0,0,0,0,0,1,-0.000758881,-0.000166592,0,-0.000758926,-1,-0.000266301,0,-0.00016639,0.000266427,-1,0,0.499904,-0.299973,0.199884,1,-0.303348,-34.7247,0.798459,15.3492,-0.0250135,1.48046,-0.644272,-0.28588,-0.249465,0.245253,0.315844,-0.450674,-0.186784,-0.639804,0.102266,-1.73595,0.833418,0.734824,-0.352787,-0.097343
0.004,-0.544132,0.455769,0.00360885,-2.09705,-0.00260211,2.55252,-0.537957,-0.00172326,-0.000487844,-7.29298e-05,-0.000566103,-0.000418263,-0.000170664,0.00288376,0,0,0,0,0,0,0,1,-0.000770573,-0.000177154,0,-0.000770622,-1,-0.000272647,0,-0.000176944,0.000272783,-1,0,0.499901,-0.299974,0.19988,1,-0.188296,-34.7604,0.762753,15.4207,-0.00761847,1.49054,-0.704697,-0.285555,-0.248202,0.24489,0.313823,-0.450816,-0.187138,-0.639133,0.0993028,-1.73225,0.831796,0.733246,-0.352087,-0.0970944
0.005,-0.544131,0.455769,0.00361164,-2.09704,-0.00260212,2.55252,-0.53796,-0.00022082,-0.000325222,0.000879401,0.00129303,-0.000278882,0.000632209,0.000803362,0,0,0,0,0,0,0,1,-0.000764348,-0.000166857,0,-0.000764393,-1,-0.000267907,0,-0.000166652,0.000268035,-1,0,0.499905,-0.299973,0.199883,1,-0.227969,-34.7604,0.72308,15.3492,-0.00761847,1.47039,-0.674485,-0.283512,-0.246347,0.24599,0.311331,-0.451044,-0.187522,-0.638559,0.0973487,-1.726,0.829075,0.731311,-0.350657,-0.0952178
0.006,-0.544123,0.455767,0.00360885,-2.09704,-0.00260111,2.55253,-0.537971,0.00254404,-0.00105203,-0.000341752,0.000862023,0.000153133,0.000760557,-0.00322838,0,0,0,0,0,0,0,1,-0.000749131,-0.000163032,0,-0.000749175,-1,-0.00026484,0,-0.000162834,0.000264963,-1,0,0.499907,-0.299971,0.199885,1,-0.34302,-34.7247,0.762753,15.3492,-0.0167737,1.46124,-0.572861,-0.283386,-0.244722,0.245493,0.308711,-0.451177,-0.187915,-0.638143,0.0927538,-1.72224,0.826891,0.730081,-0.350298,-0.0951851
0.007,-0.544132,0.455769,0.00360885,-2.09705,-0.00260532,2.55252,-0.537971,-0.000995228,0.000133871,-0.000227834,-0.00202377,-0.000237018,0.000167954,-0.00215235,0,0,0,0,0,0,0,1,-0.000753956,-0.000173552,0,-0.000754002,-1,-0.000268427,0,-0.00017335,0.000268558,-1,0,0.499902,-0.299973,0.199881,1,-0.227969,-34.7604,0.762753,15.4603,-0.00761847,1.47039,-0.572861,-0.285852,-0.243899,0.242903,0.306732,-0.451155,-0.188251,-0.637866,0.0862928,-1.72273,0.826169,0.729875,-0.351262,-0.0976337
0.008,-0.544126,0.455772,0.00361164,-2.09704,-0.00260319,2.55252,-0.537976,0.00109975,0.00101727,0.000776131,0.00217729,-0.000158029,-0.000261023,-0.00218096,0,0,0,0,0,0,0,1,-0.000742624,-0.000168226,0,-0.000742669,-1,-0.000268051,0,-0.000168027,0.000268176,-1,0,0.499906,-0.299971,0.199882,1,-0.303348,-34.8001,0.72308,15.3096,-0.00761847,1.48046,-0.55272,-0.288084,-0.24642,0.24061,0.306799,-0.451076,-0.188354,-0.637623,0.080153,-1.723,0.831736,0.728047,-0.355093,-0.0998517
0.009,-0.544126,0.455767,0.00360885,-2.09704,-0.00260147,2.55252,-0.537967,0.000733168,-0.00108505,-0.000410599,-0.000311709,0.000233719,-0.000174016,0.000817841,0,0,0,0,0,0,0,1,-0.000755519,-0.000167156,0,-0.000755563,-1,-0.000267076,0,-0.000166954,0.000267203,-1,0,0.499905,-0.299972,0.199884,1,-0.303348,-34.7247,0.762753,15.385,-0.0167737,1.48046,-0.61406,-0.290663,-0.250315,0.238107,0.307288,-0.450965,-0.188412,-0.637299,0.0725228,-1.72287,0.840059,0.725374,-0.360594,-0.102362
