time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.01,-0.565189,0.455887,0.0243337,-2.09702,-0.0190612,2.55243,-0.526733,0.000981156,0.000994622,0.00103902,-0.00131861,-0.000115107,-6.34065e-05,0.00104722,0,0,0,0,0,0,0,1,-0.000755777,-0.000178704,0,-0.000755821,-1,-0.000249062,0,-0.000178516,0.000249197,-1,0,0.499907,-0.299962,0.199888,1,-0.267642,-34.574,0.988889,15.385,0.142528,1.50061,-0.582932,-0.244423,-0.135198,0.32156,0.266996,-0.305514,-0.171124,-0.564443,0.22104,-1.58629,0.6043,0.861269,-0.300103,-0.0695331
0.011,-0.565189,0.45589,0.0243309,-2.09702,-0.019057,2.55243,-0.526745,0.000654104,0.00149826,-0.000235337,-0.000878995,0.000262341,0.000330819,-0.00340477,0,0,0,0,0,0,0,1,-0.000749449,-0.000179754,0,-0.000749495,-1,-0.000251082,0,-0.000179566,0.000251216,-1,0,0.499906,-0.299963,0.199887,1,-0.267642,-34.6097,1.02856,15.385,0.133373,1.49054,-0.472153,-0.244202,-0.135992,0.321187,0.268126,-0.305326,-0.171068,-0.564226,0.223529,-1.5871,0.605619,0.86081,-0.299743,-0.0695246
0.012,-0.565189,0.455886,0.0243284,-2.09702,-0.0190601,2.55242,-0.526735,0.000436069,-0.000764421,-0.000992109,-0.000585936,-0.000164194,-0.000525366,0.00108708,0,0,0,0,0,0,0,1,-0.000759168,-0.000178858,0,-0.000759213,-1,-0.000247086,0,-0.000178671,0.000247222,-1,0,0.499906,-0.299965,0.199889,1,-0.267642,-34.5343,1.06427,15.385,0.142528,1.51068,-0.56279,-0.245296,-0.138313,0.319722,0.270273,-0.305056,-0.1709,-0.563996,0.225158,-1.58997,0.609789,0.860175,-0.300944,-0.0707835
0.013,-0.565184,0.455888,0.0243284,-2.09702,-0.0190608,2.55243,-0.526728,0.00205395,0.000418386,-0.000661406,0.000444639,-0.000109466,2.28031e-05,0.00299659,0,0,0,0,0,0,0,1,-0.000760137,-0.000173809,0,-0.000760179,-1,-0.000243693,0,-0.000173624,0.000243825,-1,0,0.499909,-0.299963,0.19989,1,-0.34302,-34.574,1.06427,15.3492,0.142528,1.50061,-0.624131,-0.246304,-0.138366,0.318389,0.271207,-0.304831,-0.170891,-0.56371,0.227435,-1.59289,0.609663,0.860712,-0.299972,-0.0719107
0.014,-0.565189,0.455884,0.0243284,-2.09702,-0.019061,2.55243,-0.526749,-0.000393937,-0.000649111,-0.000440937,-0.000538758,-7.29795e-05,0.000388236,-0.00363107,0,0,0,0,0,0,0,1,-0.000745077,-0.000175718,0,-0.00074512,-1,-0.000244595,0,-0.000175535,0.000244726,-1,0,0.499906,-0.299965,0.19989,1,-0.267642,-34.5343,1.06427,15.385,0.142528,1.49054,-0.472153,-0.247711,-0.135834,0.316839,0.270617,-0.304637,-0.171079,-0.563398,0.229537,-1.59635,0.604706,0.862758,-0.296836,-0.0733309
0.015,-0.565184,0.45589,0.0243309,-2.09702,-0.0190611,2.55243,-0.526741,0.00150061,0.00133049,0.00054126,-0.000359146,-4.86547e-05,0.000258855,-0.000555752,0,0,0,0,0,0,0,1,-0.000745205,-0.000180628,0,-0.00074525,-1,-0.000248908,0,-0.000180442,0.000249042,-1,0,0.499908,-0.299961,0.199887,1,-0.34302,-34.6097,1.02856,15.385,0.142528,1.49054,-0.522507,-0.249379,-0.133017,0.315226,0.269802,-0.304435,-0.171307,-0.563102,0.231254,-1.60008,0.599265,0.865148,-0.293655,-0.0749643
0.016,-0.565189,0.455895,0.0243284,-2.09702,-0.0190612,2.55243,-0.526725,-0.000762829,0.00265022,-0.000474378,-0.00107463,-3.24377e-05,0.000172593,0.00451231,0,0,0,0,0,0,0,1,-0.00076808,-0.000183662,0,-0.000768126,-1,-0.000249615,0,-0.000183471,0.000249756,-1,0,0.499905,-0.299964,0.199884,1,-0.267642,-34.6851,1.06427,15.4207,0.142528,1.49054,-0.654343,-0.251147,-0.13405,0.313732,0.270867,-0.304192,-0.171309,-0.562772,0.231527,-1.60307,0.601238,0.865419,-0.29434,-0.0766492
0.017,-0.565187,0.455892,0.0243256,-2.09702,-0.019057,2.55243,-0.526742,0.000326665,0.000931589,-0.00124427,0.00095403,0.000317458,0.000488072,-0.00150161,0,0,0,0,0,0,0,1,-0.00075512,-0.000177119,0,-0.000755164,-1,-0.000246886,0,-0.000176933,0.00024702,-1,0,0.499907,-0.299966,0.199887,1,-0.303348,-34.6494,1.10394,15.3492,0.133373,1.48046,-0.532578,-0.250843,-0.13927,0.314204,0.273663,-0.304017,-0.171094,-0.562425,0.231245,-1.60153,0.611418,0.86229,-0.298954,-0.0762791
0.018,-0.565189,0.455894,0.0243256,-2.09702,-0.0190601,2.55243,-0.526734,-0.000617441,0.000621055,-0.000829515,0.000636031,-0.000127446,-4.75984e-05,0.000863888,0,0,0,0,0,0,0,1,-0.000762828,-0.000181215,0,-0.000762873,-1,-0.00024733,0,-0.000181026,0.000247469,-1,0,0.499906,-0.299967,0.199886,1,-0.267642,-34.6494,1.10394,15.3492,0.142528,1.49054,-0.582932,-0.247637,-0.143559,0.317309,0.275361,-0.304008,-0.171031,-0.562144,0.231825,-1.59492,0.620146,0.858297,-0.302705,-0.0730961
0.019,-0.565192,0.455892,0.0243256,-2.09702,-0.0190598,2.55243,-0.526732,-0.00133965,-0.000513987,-0.00055301,0.000424029,0.00025412,-3.17226e-05,0.000948918,0,0,0,0,0,0,0,1,-0.000767729,-0.000179527,0,-0.000767773,-1,-0.000246453,0,-0.000179338,0.000246591,-1,0,0.499905,-0.299968,0.199887,1,-0.227969,-34.6097,1.10394,15.3492,0.133373,1.49054,-0.593003,-0.242335,-0.143973,0.322314,0.274735,-0.304153,-0.17129,-0.56194,0.234288,-1.58545,0.621707,0.855597,-0.302665,-0.0678516
0.02,-0.565189,0.45589,0.0243284,-2.09702,-0.019061,2.55243,-0.526734,3.49217e-05,-0.00034266,0.000559347,-0.00138774,-0.000169672,-2.11411e-05,-0.000113373,0,0,0,0,0,0,0,1,-0.000759358,-0.000179218,0,-0.000759402,-1,-0.000246894,0,-0.00017903,0.00024703,-1,0,0.499906,-0.299965,0.199887,1,-0.267642,-34.6097,1.06427,15.4207,0.142528,1.49054,-0.572861,-0.236822,-0.141255,0.327585,0.272893,-0.304336,-0.171747,-0.561812,0.239063,-1.57705,0.617208,0.854995,-0.29924,-0.0623705
