time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.01,-0.509523,0.455971,-0.0305218,-2.09701,0.0237644,2.55289,-0.557269,-0.000404264,0.000575823,-0.000307224,-0.000740843,0.000252437,-0.000378834,0.00264416,0,0,0,0,0,0,0,1,0.000578549,6.18628e-05,0,0.000578529,-1,0.000319733,0,6.20478e-05,-0.000319697,-1,0,0.499917,-0.300044,0.199927,1,0.303647,-34.4986,0.266843,15.385,1.01686,0.887203,0.328933,0.26379,-0.163284,0.134633,0.344327,0.588445,-0.795184,0.398784,2.5,-0.300751,1.78425,0.319518,0.520655,0.129143
0.011,-0.509518,0.455974,-0.0305223,-2.09701,0.0237635,2.55289,-0.55728,0.00149373,-0.00189756,-0.00022209,-0.000493895,-0.000119523,0.000120436,-0.00162807,0,0,0,0,0,0,0,1,0.000594414,6.08409e-05,0,0.000594395,-1,0.000320079,0,6.10312e-05,-0.000320042,-1,0,0.499918,-0.300041,0.199926,1,0.228269,-34.5343,0.266843,15.385,1.0251,0.877132,0.420486,0.256255,-0.165519,0.128133,0.346597,0.588666,-0.794631,0.398326,2.49581,-0.313931,1.78751,0.32235,0.517577,0.121888
0.012,-0.509521,0.455974,-0.0305169,-2.09701,0.0237644,2.55289,-0.557273,6.77992e-05,-0.000596741,0.00169502,0.000505955,0.000238514,8.02908e-05,0.00118649,0,0,0,0,0,0,0,1,0.000588966,6.40323e-05,0,0.000588946,-1,0.000318641,0,6.422e-05,-0.000318603,-1,0,0.49992,-0.300041,0.199927,1,0.267942,-34.574,0.187497,15.3492,1.01686,0.877132,0.359146,0.248787,-0.164824,0.121775,0.347508,0.588863,-0.794258,0.397907,2.49299,-0.327765,1.78514,0.326905,0.517462,0.114702
0.013,-0.509518,0.455968,-0.0305251,-2.09701,0.0237635,2.55289,-0.557281,0.000973219,-0.00235586,-0.00157096,0.00277835,-0.000136401,-0.000692458,-0.00185387,0,0,0,0,0,0,0,1,0.000593124,6.32564e-05,0,0.000593103,-1,0.000322695,0,6.34478e-05,-0.000322657,-1,0,0.499918,-0.300043,0.199929,1,0.228269,-34.4986,0.302548,15.385,1.0251,0.897273,0.430557,0.241572,-0.159419,0.115723,0.34537,0.588983,-0.794261,0.397517,2.48975,-0.340723,1.77406,0.333531,0.521296,0.107812
0.014,-0.509515,0.455971,-0.0305226,-2.09701,0.0237644,2.55289,-0.557271,0.00157683,-0.000881446,-0.000219375,0.00296047,0.000221566,0.000657339,0.00215493,0,0,0,0,0,0,0,1,0.000587245,6.71042e-05,0,0.000587223,-1,0.000323269,0,6.72941e-05,-0.00032323,-1,0,0.499921,-0.300041,0.199929,1,0.188596,-34.5343,0.266843,15.3492,1.01686,0.867061,0.339004,0.236158,-0.148987,0.111363,0.339346,0.588927,-0.794722,0.397159,2.48532,-0.349354,1.75392,0.341387,0.528981,0.102681
0.015,-0.509516,0.455971,-0.0305226,-2.09701,0.0237654,2.55289,-0.557283,0.000123202,-0.000697201,-0.000151716,0.0013432,0.000492288,0.000438226,-0.00270021,0,0,0,0,0,0,0,1,0.000598133,6.53212e-05,0,0.000598112,-1,0.000321553,0,6.55135e-05,-0.000321513,-1,0,0.499919,-0.300041,0.199928,1,0.228269,-34.5343,0.266843,15.385,1.0077,0.867061,0.450698,0.231969,-0.136953,0.108245,0.331535,0.588769,-0.795384,0.396833,2.47938,-0.354491,1.73107,0.349033,0.537486,0.098829
0.016,-0.50952,0.455965,-0.0305226,-2.09701,0.0237667,2.55289,-0.557268,-0.000845885,-0.00231022,-0.000105243,0.000213823,-0.000311948,-8.0842e-05,0.00308267,0,0,0,0,0,0,0,1,0.000578215,6.91475e-05,0,0.000578192,-1,0.000322819,0,6.93341e-05,-0.000322779,-1,0,0.499919,-0.300043,0.199931,1,0.267942,-34.4589,0.266843,15.4207,1.0251,0.877132,0.318862,0.230061,-0.126323,0.1072,0.324647,0.588528,-0.795947,0.396531,2.47564,-0.356461,1.71083,0.355196,0.54534,0.0971747
0.017,-0.509513,0.455973,-0.0305177,-2.09701,0.0237655,2.55289,-0.557285,0.00129212,0.00108948,0.000854783,0.00025773,0.0001003,-0.00079988,-0.00357368,0,0,0,0,0,0,0,1,0.000607768,6.15416e-05,0,0.000607749,-1,0.000316763,0,6.17341e-05,-0.000316726,-1,0,0.499921,-0.300037,0.199926,1,0.188596,-34.574,0.22717,15.4207,1.01686,0.897273,0.47084,0.229735,-0.118731,0.107589,0.320173,0.588267,-0.796244,0.396251,2.47517,-0.357105,1.69605,0.359588,0.551562,0.0970987
0.018,-0.509515,0.455973,-0.0305142,-2.09701,0.0237647,2.55289,-0.557271,-6.6609e-05,0.000680096,0.00149557,-0.000669814,6.91843e-05,0.000585725,0.00250036,0,0,0,0,0,0,0,1,0.000594586,6.27616e-05,0,0.000594566,-1,0.000316233,0,6.29496e-05,-0.000316195,-1,0,0.499921,-0.300036,0.199926,1,0.228269,-34.574,0.187497,15.4603,1.01686,0.867061,0.339004,0.227621,-0.11765,0.106517,0.319677,0.588171,-0.796068,0.395996,2.47344,-0.360519,1.69345,0.361611,0.551728,0.095311
0.019,-0.509512,0.45597,-0.0305167,-2.09701,0.0237645,2.55289,-0.557282,0.00171883,-0.000509291,6.72972e-05,-0.000381753,4.78609e-05,1.74904e-05,-0.00209693,0,0,0,0,0,0,0,1,0.000607145,6.54671e-05,0,0.000607124,-1,0.000319192,0,6.56609e-05,-0.000319152,-1,0,0.499922,-0.300036,0.199928,1,0.15289,-34.5343,0.22717,15.4603,1.01686,0.877132,0.440628,0.223431,-0.121616,0.103719,0.322336,0.588232,-0.795526,0.395783,2.47044,-0.367061,1.70029,0.362027,0.547187,0.0916026
