time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.01,-0.55218,0.455748,0.0115547,-2.09708,-0.0090417,2.55251,-0.533601,0.000539767,-0.00137486,-0.000382657,-0.00028797,-0.00049394,-1.86525e-05,0.00135749,0,0,0,0,0,0,0,1,-0.000684249,-0.000202439,0,-0.000684289,-1,-0.000194027,0,-0.000202306,0.000194166,-1,0,0.499905,-0.29995,0.199895,1,-0.34302,-34.6851,0.91351,15.4207,0.169078,1.51068,-0.684556,-0.329348,-0.285801,0.328398,0.434173,-0.285454,-0.162604,-0.632039,0.354091,-1.95816,0.859874,1.02213,-0.447054,-0.140694
0.011,-0.552178,0.45575,0.0115533,-2.09709,-0.00903796,2.55251,-0.53362,0.000359845,1.14478e-05,-0.000255105,-0.00299796,0.000654051,-0.000351519,-0.00546979,0,0,0,0,0,0,0,1,-0.000667801,-0.000211978,0,-0.000667843,-1,-0.000201489,0,-0.000211844,0.000201631,-1,0,0.499902,-0.299948,0.19989,1,-0.34302,-34.7247,0.91351,15.5357,0.142528,1.51983,-0.512436,-0.326923,-0.286187,0.330405,0.433649,-0.28549,-0.162603,-0.632177,0.353644,-1.95345,0.860788,1.02068,-0.447704,-0.138436
0.012,-0.552177,0.455748,0.0115556,-2.09709,-0.00904064,2.55251,-0.533604,0.000239896,-0.000920388,0.00075795,-0.00115666,-0.00054731,0.000104738,0.00160928,0,0,0,0,0,0,0,1,-0.000678718,-0.000206609,0,-0.000678759,-1,-0.000197679,0,-0.000206475,0.000197819,-1,0,0.499904,-0.299948,0.199893,1,-0.34302,-34.6851,0.873837,15.496,0.169078,1.51068,-0.654343,-0.326642,-0.283766,0.330566,0.431928,-0.285441,-0.162749,-0.632342,0.352763,-1.95279,0.856264,1.02185,-0.446022,-0.138246
0.013,-0.55218,0.455751,0.0115555,-2.09709,-0.00904273,2.55251,-0.533611,-0.000768089,0.000314428,0.0005053,-0.00176366,-2.57893e-05,0.000442818,-0.00119901,0,0,0,0,0,0,0,1,-0.00067289,-0.00021104,0,-0.000672932,-1,-0.000198953,0,-0.000210906,0.000199095,-1,0,0.499902,-0.299948,0.19989,1,-0.303348,-34.7247,0.873837,15.5357,0.159923,1.50061,-0.593003,-0.327676,-0.280319,0.329549,0.429727,-0.285337,-0.162948,-0.632443,0.351244,-1.95417,0.849732,1.02405,-0.44355,-0.139307
0.014,-0.552179,0.455748,0.0115554,-2.09708,-0.00903966,2.55251,-0.533605,0.000415961,-0.000718401,0.000336867,0.000539067,0.000287983,-0.000416865,0.00109953,0,0,0,0,0,0,0,1,-0.000680518,-0.000205123,0,-0.000680559,-1,-0.000197308,0,-0.000204989,0.000197448,-1,0,0.499904,-0.299949,0.199894,1,-0.34302,-34.6851,0.873837,15.4603,0.151683,1.51983,-0.644272,-0.328874,-0.275846,0.328295,0.426566,-0.285247,-0.163254,-0.632454,0.348534,-1.955,0.841409,1.02644,-0.440507,-0.140538
0.015,-0.552183,0.455751,0.011552,-2.09709,-0.00903985,2.55251,-0.533604,-0.000650713,0.0012843,-0.00163146,-0.00144016,-0.000113187,6.11743e-05,0.00110601,0,0,0,0,0,0,0,1,-0.000688029,-0.000212329,0,-0.000688071,-1,-0.000199785,0,-0.000212192,0.000199931,-1,0,0.4999,-0.299952,0.19989,1,-0.303348,-34.7604,0.953183,15.5357,0.159923,1.51068,-0.654343,-0.328807,-0.271366,0.328048,0.422821,-0.285234,-0.163613,-0.632401,0.345147,-1.95283,0.833282,1.02782,-0.43767,-0.140569
0.016,-0.552181,0.455752,0.0115561,-2.09708,-0.00904281,2.55251,-0.533618,-0.000433809,0.000856202,0.000768398,0.00170393,-7.54581e-05,0.000413775,-0.00377248,0,0,0,0,0,0,0,1,-0.000666449,-0.00020553,0,-0.00066649,-1,-0.000195942,0,-0.0002054,0.000196079,-1,0,0.499905,-0.29995,0.199892,1,-0.303348,-34.7604,0.873837,15.4207,0.159923,1.50061,-0.532578,-0.326596,-0.268689,0.32959,0.419347,-0.285318,-0.163914,-0.632323,0.341114,-1.94599,0.828853,1.02683,-0.436649,-0.138549
0.017,-0.552175,0.455748,0.0115528,-2.09709,-0.0090406,2.55251,-0.533605,0.00147403,-0.00119244,-0.000415754,-0.000647704,-5.03054e-05,0.000648843,0.00162184,0,0,0,0,0,0,0,1,-0.000677671,-0.000205128,0,-0.000677711,-1,-0.000195406,0,-0.000204995,0.000195545,-1,0,0.499905,-0.299948,0.199893,1,-0.378726,-34.6851,0.91351,15.496,0.159923,1.49054,-0.644272,-0.325109,-0.265674,0.330489,0.415206,-0.285382,-0.164302,-0.63221,0.334977,-1.93927,0.823993,1.02594,-0.435988,-0.137235
0.018,-0.552182,0.455753,0.0115499,-2.09709,-0.00904408,2.55251,-0.533614,-0.00078055,0.00096828,-0.00120519,-0.000447116,-0.000372621,5.95693e-05,-0.00193662,0,0,0,0,0,0,0,1,-0.000675591,-0.000212389,0,-0.000675632,-1,-0.000196066,0,-0.000212257,0.000196209,-1,0,0.499901,-0.299953,0.19989,1,-0.303348,-34.7604,0.953183,15.496,0.169078,1.50061,-0.56279,-0.324933,-0.261251,0.330296,0.41056,-0.285392,-0.164788,-0.632012,0.328929,-1.93497,0.816415,1.02644,-0.433998,-0.137138
0.019,-0.55218,0.455756,0.0115548,-2.09709,-0.00903977,2.55251,-0.533603,0.000407653,0.00157354,0.00012456,-0.000309563,0.000395846,-0.00033328,0.00247275,0,0,0,0,0,0,0,1,-0.00068396,-0.000213433,0,-0.000684003,-1,-0.000202002,0,-0.000213295,0.000202148,-1,0,0.499902,-0.299949,0.199888,1,-0.34302,-34.8001,0.91351,15.496,0.151683,1.51068,-0.664414,-0.323764,-0.2594,0.331023,0.407572,-0.285399,-0.165093,-0.631729,0.324192,-1.92933,0.813636,1.02529,-0.433849,-0.136081
0.02,-0.552178,0.455751,0.0115505,-2.09708,-0.00904309,2.55251,-0.533603,0.000271769,0.000121007,-0.00084498,0.000620229,-4.12785e-05,0.000150806,-0.00311094,0,0,0,0,0,0,0,1,-0.000683073,-0.000208066,0,-0.000683114,-1,-0.000194408,0,-0.000207933,0.00019455,-1,0,0.499903,-0.299951,0.199892,1,-0.34302,-34.7604,0.953183,15.4603,0.159923,1.50061,-0.664414,-0.322575,-0.260197,0.331863,0.405917,-0.285375,-0.16525,-0.631382,0.318762,-1.92307,0.815984,1.0226,-0.436225,-0.134961
0.021,-0.552182,0.455742,0.011555,-2.09709,-0.00904273,2.55251,-0.533607,-0.000746841,-0.00251778,0.0003647,-0.00135621,-0.000705687,-0.000611539,-0.00396255,0,0,0,0,0,0,0,1,-0.000679174,-0.000206075,0,-0.000679214,-1,-0.000195603,0,-0.000205942,0.000195743,-1,0,0.499902,-0.29995,0.199895,1,-0.303348,-34.6494,0.91351,15.5357,0.178234,1.51983,-0.624131,-0.321829,-0.258489,0.332395,0.403364,-0.285336,-0.165557,-0.63103,0.314939,-1.91859,0.81344,1.02182,-0.435922,-0.134227
0.022,-0.552178,0.455747,0.0115534,-2.09709,-0.00903989,2.55251,-0.533604,0.00126534,-0.000843305,0.000243133,1.90331e-05,0.00020771,0.000677377,-0.00182019,0,0,0,0,0,0,0,1,-0.00068153,-0.000204197,0,-0.00068157,-1,-0.000195579,0,-0.000204063,0.000195718,-1,0,0.499904,-0.299949,0.199893,1,-0.378726,-34.6851,0.91351,15.496,0.159923,1.49054,-0.654343,-0.32212,-0.252027,0.332084,0.39927,-0.285256,-0.166111,-0.630731,0.314376,-1.9182,0.801528,1.02484,-0.430462,-0.134482
