time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0.01,-0.510081,0.455856,-0.0298741,-2.09709,0.0231075,2.55269,-0.555995,-0.00925965,0.000836349,-0.00370534,-0.00588366,0.0054746,0.00654297,-0.00678056,0,0,0,0,0,0,0,1,-0.000127041,-0.000119514,0,-0.000127006,-1,0.00029634,0,-0.000119551,-0.000296325,-1,0,0.499918,-0.299973,0.199944,1,-1.93787,-34.7247,-1.03046,14.7502,1.0608,1.2232,-0.776108,-0.126811,-0.148483,0.483916,0.468026,0.541893,-0.495,-0.702688,1.25061,-2.47401,1.02207,2.19318,-0.520874,-0.195751
0.011,-0.51011,0.455852,-0.0298733,-2.09709,0.0231091,2.5527,-0.556,-0.0148721,-0.00260095,-0.00050556,-0.00520316,0.00734469,0.00500817,-0.00696955,0,0,0,0,0,0,0,1,-0.000151673,-0.000116499,0,-0.000151639,-1,0.000296589,0,-0.000116544,-0.000296571,-1,0,0.49991,-0.299987,0.199946,1,-2.35443,-34.7247,-1.60175,14.4844,1.10475,1.2232,-0.856675,-0.0861212,-0.163526,0.516485,0.475773,0.540262,-0.493744,-0.702842,1.27955,-2.41274,1.05003,2.16707,-0.525329,-0.157592
0.012,-0.510135,0.455843,-0.0298818,-2.09711,0.0231063,2.5527,-0.556017,-0.0200546,-0.00606382,-0.00447297,-0.00698337,0.00411728,0.00419642,-0.0102421,0,0,0,0,0,0,0,1,-0.00016499,-0.000122587,0,-0.000164953,-1,0.000298925,0,-0.000122636,-0.000298904,-1,0,0.499895,-0.300001,0.199945,1,-3.0011,-34.6851,-2.06195,14.2979,1.14869,1.21313,-0.856675,-0.0421462,-0.16774,0.551177,0.477137,0.538407,-0.492971,-0.703279,1.31083,-2.34727,1.05715,2.14492,-0.519596,-0.116599
0.013,-0.510179,0.455833,-0.0298921,-2.09713,0.0231117,2.5527,-0.556034,-0.0276783,-0.00855666,-0.0058898,-0.0113712,0.00175356,0.00241511,-0.0111439,0,0,0,0,0,0,0,1,-0.000205946,-0.000129658,0,-0.000205908,-1,0.000296239,0,-0.000129719,-0.000296212,-1,0,0.499874,-0.300026,0.199944,1,-3.49701,-34.6494,-2.59357,14.1115,1.19264,1.23327,-0.897873,0.0152394,-0.158457,0.596372,0.47119,0.535962,-0.492714,-0.704105,1.35467,-2.26435,1.03783,2.1244,-0.498418,-0.0632538
0.014,-0.510223,0.455829,-0.0298965,-2.09715,0.0231154,2.5527,-0.556082,-0.0313157,-0.00770478,-0.00442003,-0.0112716,0.00538002,0.00631296,-0.0192934,0,0,0,0,0,0,0,1,-0.000208896,-0.000139083,0,-0.000208856,-1,0.0002904,0,-0.000139144,-0.00029037,-1,0,0.499854,-0.300046,0.19994,1,-4.10401,-34.7247,-3.2442,13.7742,1.21919,1.25341,-0.735825,0.0895583,-0.140277,0.654903,0.460337,0.532911,-0.492632,-0.7054,1.41284,-2.15821,1.00084,2.10162,-0.465331,0.00575549
0.015,-0.510264,0.455812,-0.0299043,-2.09719,0.023122,2.55271,-0.556112,-0.031618,-0.0100011,-0.00466045,-0.0248779,0.00833066,0.00450537,-0.0263537,0,0,0,0,0,0,0,1,-0.000233968,-0.000155138,0,-0.000233924,-1,0.000280201,0,-0.000155203,-0.000280165,-1,0,0.499828,-0.300065,0.199935,1,-4.82605,-34.6851,-3.85517,13.6235,1.2375,1.26257,-0.786179,0.171247,-0.122169,0.718582,0.449701,0.529822,-0.492065,-0.70712,1.47637,-2.04227,0.963005,2.0759,-0.430769,0.0812296
0.016,-0.510309,0.455792,-0.0299121,-2.09721,0.0231251,2.55272,-0.556158,-0.0353924,-0.0123725,-0.00717534,-0.0260158,0.00552296,0.00827473,-0.0348367,0,0,0,0,0,0,0,1,-0.000242615,-0.000152098,0,-0.000242572,-1,0.000283554,0,-0.000152167,-0.000283517,-1,0,0.499807,-0.300088,0.199938,1,-5.50843,-34.6097,-4.50183,13.2148,1.26405,1.27264,-0.766037,0.249998,-0.110292,0.778719,0.444166,0.527289,-0.490402,-0.709093,1.54059,-1.93349,0.935398,2.04907,-0.401174,0.153433
0.017,-0.510365,0.455771,-0.029921,-2.09725,0.0231296,2.55273,-0.556206,-0.0401048,-0.014071,-0.00683292,-0.0289528,0.00310784,0.0118473,-0.0386742,0,0,0,0,0,0,0,1,-0.00026226,-0.000155792,0,-0.000262216,-1,0.000282655,0,-0.000155866,-0.000282614,-1,0,0.499779,-0.300115,0.199937,1,-6.15509,-34.5343,-5.1128,12.8776,1.29884,1.26257,-0.806321,0.323623,-0.102035,0.833485,0.441378,0.52539,-0.487911,-0.711168,1.6013,-1.83327,0.913408,2.02265,-0.375571,0.220278
0.018,-0.510425,0.455745,-0.0299295,-2.09731,0.0231391,2.55275,-0.556273,-0.0492526,-0.0161358,-0.00690695,-0.0389734,0.00162435,0.0207442,-0.0495205,0,0,0,0,0,0,0,1,-0.000271966,-0.00016394,0,-0.000271921,-1,0.000275641,0,-0.000164015,-0.000275597,-1,0,0.499744,-0.300142,0.199934,1,-6.83747,-34.4193,-5.72376,12.7269,1.32539,1.2232,-0.766037,0.394774,-0.09532,0.884914,0.438631,0.523975,-0.484926,-0.713276,1.65621,-1.73498,0.893784,1.99544,-0.352864,0.284237
0.019,-0.510498,0.455717,-0.0299338,-2.09736,0.0231488,2.55277,-0.556332,-0.0557194,-0.0189576,-0.00392989,-0.0407442,0.00488314,0.0250439,-0.052603,0,0,0,0,0,0,0,1,-0.00029866,-0.000164044,0,-0.000298616,-1,0.000271053,0,-0.000164125,-0.000271004,-1,0,0.49971,-0.300174,0.199934,1,-7.40876,-34.3836,-6.33075,12.35,1.36109,1.24334,-0.856675,0.465992,-0.090533,0.934825,0.435963,0.522934,-0.481486,-0.715391,1.70678,-1.63464,0.8775,1.96586,-0.332931,0.347606
0.02,-0.510569,0.45569,-0.0299417,-2.09743,0.0231568,2.55279,-0.556421,-0.0606323,-0.0193668,-0.000237122,-0.0530755,0.00764713,0.0235141,-0.065588,0,0,0,0,0,0,0,1,-0.000294651,-0.000180997,0,-0.000294604,-1,0.000259452,0,-0.000181073,-0.000259399,-1,0,0.499669,-0.300204,0.199926,1,-8.09113,-34.4193,-6.86634,12.1635,1.38765,1.25341,-0.776108,0.532572,-0.0887809,0.979014,0.433851,0.522421,-0.477511,-0.717515,1.74856,-1.53871,0.866663,1.93496,-0.317823,0.405859
